RowID,CCNumber,CrimeDateTime,CrimeCode,Description,Inside_Outside,Weapon,Post,Gender,Age,Race,Ethnicity,Location,Old_District,New_District,Neighborhood,Latitude,Longitude,GeoLocation,PremiseType,Total_Incidents,x,y
592508,23I06391,9/8/1523 5:30:02 PM,7A,AUTO THEFT,,,421,F,0,WHITE,UNKNOWN,5100 HARFORD RD,NORTHEAST,N/A,WALTHERSON,39.34795,-76.565003,"(39.34795,-76.565003)",SHED/GARAGE,1,-76.565003,39.34795
592506,23I01590,9/3/1730 5:30:02 PM,6J,LARCENY,,,934,F,0,WHITE,UNKNOWN,10 E HENRIETTA ST,SOUTHERN,N/A,FEDERAL HILL,39.279043,-76.614148,"(39.279043,-76.614148)",STREET,1,-76.614148,39.279043
592507,23H06330,8/14/1720 2:00:02 AM,6F,LARCENY,,,124,F,39,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,800 MC ALEER CT,CENTRAL,N/A,OLDTOWN,39.300101,-76.60544,"(39.300101,-76.60544)",OTHER/RESIDENTIAL,1,-76.60544,39.300101
592509,22E07562,5/22/1202 10:00:02 AM,6J,LARCENY,,,922,F,57,,,900 BETHUNE RD,SOUTHERN,N/A,CHERRY HILL,39.24476274638869,-76.62402371,"(39.24476274638869,-76.62402370559371)",STREET,1,-76.62402371,39.24476275
592510,23C04992,3/16/1023 1:01:02 PM,4B,AGG. ASSAULT,,PERSONAL_WEA,822,F,30,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,4600 PEN LUCY RD,SOUTHWEST,N/A,TREMONT,39.285659,-76.693882,"(39.285659,-76.693882)",OTHER/RESIDENTIAL,1,-76.693882,39.285659
592511,23A07816,1/26/1023 7:40:02 AM,4E,COMMON ASSAULT,,PERSONAL_WEA,631,M,12,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,3800 FALLSTAFF RD,NORTHWEST,N/A,FALLSTAFF,39.363069,-76.704984,"(39.363069,-76.704984)",SCHOOL,1,-76.704984,39.363069
23443,24G03893,7/11/2024 23:15,4E,COMMON ASSAULT,I,PERSONAL_WEAPONS,133,F,20,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,100 N BROADWAY,N/A,CENTRAL,WASHINGTON HILL,39.293365,-76.594161,"(39.293365,-76.594161)",OTHER/RESIDENTIAL                                 ,1,-76.594161,39.293365
23436,24G03879,7/11/2024 22:46,6J,LARCENY,I,,215,NA,,, ,3300 E FAYETTE ST,N/A,SOUTHEAST,PATTERSON PARK NEIGHBORHOOD,39.294776,-76.570818,"(39.294776,-76.570818)",CONVENIENCE STORE                                 ,1,-76.570818,39.294776
23499,24G03898,7/11/2024 22:45,6J,LARCENY,O,,234,NA,,, ,1500 62ND ST,N/A,SOUTHEAST,PULASKI INDUSTRIAL AREA,39.310944,-76.530961,"(39.310944,-76.530961)",GAS STATION                                       ,1,-76.530961,39.310944
22546,24G03863,7/11/2024 22:15,3A,ROBBERY,O,HANDGUN,231,F,24,,UNKNOWN,S HIGHLAND AVE,N/A,SOUTHEAST,CANTON INDUSTRIAL AREA,39.27542919413932,-76.56837542,"(39.27542919413932,-76.56837541808302)",STREET                                            ,1,-76.56837542,39.27542919
23442,24G03863,7/11/2024 22:15,3A,ROBBERY,O,HANDGUN,231,M,23,WHITE,NOT_HISPANIC_OR_LATINO,S HIGHLAND AVE,N/A,SOUTHEAST,CANTON INDUSTRIAL AREA,39.27542919413932,-76.56837542,"(39.27542919413932,-76.56837541808302)",STREET                                            ,1,-76.56837542,39.27542919
23435,24G03876,7/11/2024 22:00,4E,COMMON ASSAULT,I,PERSONAL_WEAPONS,632,F,35,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,4200 LABYRINTH RD,N/A,NORTHWEST,REISTERSTOWN STATION,39.357919,-76.709768,"(39.357919,-76.709768)",OTHER/RESIDENTIAL                                 ,1,-76.709768,39.357919
23500,24G03871,7/11/2024 22:00,6J,LARCENY,I,,932,F,50,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,1300 CARROLL ST,N/A,SOUTHERN,WASHINGTON VILLAGE/PIGTOWN,39.279177,-76.63522,"(39.279177,-76.63522)",OTHER/RESIDENTIAL                                 ,1,-76.63522,39.279177
23434,24G03874,7/11/2024 21:30,3A,ROBBERY,O,OTHER,731,F,19,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,2200 N DUKELAND ST,N/A,WESTERN,PANWAY/BRADDISH AVENUE,39.312993,-76.664321,"(39.312993,-76.664321)",STREET                                            ,1,-76.664321,39.312993
22544,24G03854,7/11/2024 21:15,4A,AGG. ASSAULT,O,BLUNT_OBJECT,531,M,28,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,REISTERSTOWN RD,N/A,NORTHERN,LIBERTY SQUARE,39.320918,-76.654487,"(39.320918,-76.654487)",STREET                                            ,1,-76.654487,39.320918
23440,24G03888,7/11/2024 20:30,7A,AUTO THEFT,I,,522,F,32,WHITE,UNKNOWN,6300 YORK RD,N/A,NORTHERN,LAKE WALKER,39.370541,-76.609735,"(39.370541,-76.609735)",CONVENIENCE STORE                                 ,1,-76.609735,39.370541
22545,24G03858,7/11/2024 20:15,6F,LARCENY FROM AUTO,O,,913,F,39,,HISPANIC_OR_LATINO,FAIRHAVEN AVE,N/A,SOUTHERN,CURTIS BAY,39.22743402,-76.59027765,"(39.227434022381,-76.59027765472162)",STREET                                            ,1,-76.59027766,39.22743402
23354,24G03811,7/11/2024 19:45,6J,LARCENY,I,,632,M,38,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,6500 REISTERSTOWN RD,N/A,NORTHWEST,REISTERSTOWN STATION,39.357757018579974,-76.70747599,"(39.357757018579974,-76.70747599411173)",OFFICE BUILDING                                   ,1,-76.70747599,39.35775702
23437,24G03880,7/11/2024 19:35,7A,AUTO THEFT,O,,211,M,23,WHITE,UNKNOWN,HUDSON ST,N/A,SOUTHEAST,CANTON,39.282051840845575,-76.58111655,"(39.282051840845575,-76.58111654634033)",STREET                                            ,1,-76.58111655,39.28205184
22543,24G03851,7/11/2024 19:31,4A,AGG. ASSAULT,O,OTHER,121,F,29,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,400 N PACA ST,N/A,CENTRAL,DOWNTOWN,39.294353,-76.622518,"(39.294353,-76.622518)",STREET                                            ,1,-76.622518,39.294353
23439,24G03886,7/11/2024 19:00,7A,AUTO THEFT,O,,811,NA,,, ,SEMINOLE AVE,N/A,SOUTHWEST,ROGNEL HEIGHTS,39.300086,-76.690954,"(39.300086,-76.690954)",STREET                                            ,1,-76.690954,39.300086
24130,24G03817,7/11/2024 18:30,4A,AGG. ASSAULT,I,PERSONAL_WEAPONS,623,F,39,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,3900 BELLE AVE,N/A,NORTHWEST,CALLAWAY-GARRISON,39.333183,-76.682055,"(39.333183,-76.682055)",OTHER/RESIDENTIAL                                 ,1,-76.682055,39.333183
23351,24G03801,7/11/2024 18:18,3A,ROBBERY,O,,812,M,38,WHITE,UNKNOWN,600 MT HOLLY STREET,N/A,SOUTHWEST,EDGEWOOD,39.294408,-76.67974,"(39.294408,-76.67974)",STREET                                            ,1,-76.67974,39.294408
22695,24G03793,7/11/2024 17:30,6C,LARCENY,I,,113,U,,,,10 E FAYETTE ST,N/A,CENTRAL,DOWNTOWN,39.290336,-76.614593,"(39.290336,-76.614593)",CONVENIENCE STORE                                 ,1,-76.614593,39.290336
24131,24G03826,7/11/2024 17:30,3A,ROBBERY,O,BLUNT_OBJECT,322,M,52,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,E NORTH AVE,N/A,EASTERN,EAST BALTIMORE MIDWAY,39.311954,-76.600091,"(39.311954,-76.600091)",STREET                                            ,1,-76.600091,39.311954
22554,24G03792,7/11/2024 17:26,6J,LARCENY,O,,622,M,14,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,BELLE AVE,N/A,NORTHWEST,HOWARD PARK,39.33396538212696,-76.69132869,"(39.33396538212696,-76.69132869333923)",STREET                                            ,1,-76.69132869,39.33396538
22552,24G03784,7/11/2024 17:20,6J,LARCENY,I,,112,NA,,, ,W BALTIMORE ST,N/A,CENTRAL,DOWNTOWN,39.289408,-76.619523,"(39.289408,-76.619523)",CONVENIENCE STORE                                 ,1,-76.619523,39.289408
22551,24G03776,7/11/2024 17:10,4E,COMMON ASSAULT,I,PERSONAL_WEAPONS,922,F,72,WHITE,UNKNOWN,3000 LORENA AVE,N/A,SOUTHERN,LAKELAND,39.255928,-76.652947,"(39.255928,-76.652947)",OTHER/RESIDENTIAL                                 ,1,-76.652947,39.255928
23352,24G03802,7/11/2024 17:00,4A,AGG. ASSAULT,O,FIREARM,113,F,30,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,200 W SARATOGA ST,N/A,CENTRAL,DOWNTOWN,39.293,-76.618474,"(39.293,-76.618474)",GAS STATION                                       ,1,-76.618474,39.293
23353,24G03807,7/11/2024 17:00,4E,COMMON ASSAULT,I,PERSONAL_WEAPONS,125,F,52,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,500 MCELDERRY ST,N/A,CENTRAL,OLDTOWN,39.296486,-76.602693,"(39.296486,-76.602693)",OTHER/RESIDENTIAL                                 ,1,-76.602693,39.296486
23433,24G03845,7/11/2024 17:00,4E,COMMON ASSAULT,I,PERSONAL_WEAPONS,113,F,30,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,200 W SARATOGA ST,N/A,CENTRAL,DOWNTOWN,39.293,-76.618474,"(39.293,-76.618474)",OFFICE BUILDING                                   ,1,-76.618474,39.293
22553,24G03789,7/11/2024 16:14,6J,LARCENY,I,,732,M,26,,UNKNOWN,GWYNNS FALLS PKWY,N/A,WESTERN,MONDAWMIN,39.315906,-76.652202,"(39.315906,-76.652202)",OFFICE BUILDING                                   ,1,-76.652202,39.315906
22630,24G03749,7/11/2024 16:01,3A,ROBBERY,I,FIREARM,633,F,27,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,5400 REISTERSTOWN RD,N/A,NORTHWEST,WOODMERE,39.347012,-76.689175,"(39.347012,-76.689175)",BANK/FINANCIAL INST                               ,1,-76.689175,39.347012
22631,24G03749,7/11/2024 16:01,3C,ROBBERY - COMMERCIAL,I,FIREARM,633,NA,,, ,5400 REISTERSTOWN RD,N/A,NORTHWEST,WOODMERE,39.347012,-76.689175,"(39.347012,-76.689175)",BANK/FINANCIAL INST                               ,1,-76.689175,39.347012
22634,24G03756,7/11/2024 16:00,4A,AGG. ASSAULT,I,OTHER,831,F,36,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,3100 WASHINGTON BLVD,N/A,SOUTHWEST,MORRELL PARK,39.258948,-76.661695,"(39.258948,-76.661695)",GROCERY/CONFECTION                                ,1,-76.661695,39.258948
23503,24G03740,7/11/2024 15:42,6C,LARCENY,I,,115,NA,,, ,E PRATT ST,N/A,CENTRAL,INNER HARBOR,39.28679,-76.60772,"(39.28679,-76.60772)",WHOLESALEDISC. STOR                               ,1,-76.60772,39.28679
23505,24G03746,7/11/2024 15:30,4A,AGG. ASSAULT,O,HANDGUN,533,F,48,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,4400 REISTERSTOWN RD,N/A,NORTHERN,CENTRAL PARK HEIGHTS,39.338975,-76.667895,"(39.338975,-76.667895)",SHED/GARAGE                                       ,1,-76.667895,39.338975
24073,24G03746,7/11/2024 15:30,4A,AGG. ASSAULT,O,HANDGUN,533,M,13,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,4400 REISTERSTOWN RD,N/A,NORTHERN,CENTRAL PARK HEIGHTS,39.338975,-76.667895,"(39.338975,-76.667895)",SHED/GARAGE                                       ,1,-76.667895,39.338975
24129,24G03746,7/11/2024 15:30,4A,AGG. ASSAULT,O,HANDGUN,533,F,26,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,4400 REISTERSTOWN RD,N/A,NORTHERN,CENTRAL PARK HEIGHTS,39.338975,-76.667895,"(39.338975,-76.667895)",SHED/GARAGE                                       ,1,-76.667895,39.338975
22548,24G03726,7/11/2024 14:45,3A,ROBBERY,O,HANDGUN,411,M,16,BLACK_OR_AFRICAN_AMERICAN,NOT_HISPANIC_OR_LATINO,WINDEMERE AVE,N/A,NORTHEAST,EDNOR GARDENS-LAKESIDE,39.330169,-76.592034,"(39.330169,-76.592034)",STREET                                            ,1,-76.592034,39.330169
22549,24G03733,7/11/2024 14:43,3BJ,ROBBERY - CARJACKING,O,HANDGUN,333,M,23,,NOT_HISPANIC_OR_LATINO,LYNDALE AVE,N/A,EASTERN,BELAIR-EDISON,39.316578,-76.572918,"(39.316578,-76.572918)",STREET                                            ,1,-76.572918,39.316578
22696,24G03795,7/11/2024 14:40,4E,COMMON ASSAULT,O,PERSONAL_WEAPONS,124,M,27,BLACK_OR_AFRICAN_AMERICAN,UNKNOWN,HARFORD AVE,N/A,CENTRAL,JOHNSTON SQUARE,39.302988,-76.602723,"(39.302988,-76.602723)",STREET                                            ,1,-76.602723,39.302988
